policy,workload,iterations,trial,workers,elapsed_s,throughput,steal_attempts,successful_steals
random,imbalanced,10000,6,1,24.221,41286,0,0
random,imbalanced,10000,6,2,11.288,88587,245712,245712
random,imbalanced,10000,6,4,5.55,180182,556008,195499
random,imbalanced,10000,6,8,2.91,343699,755848,143255
random,imbalanced,10000,6,16,1.688,592576,859899,141500
random,imbalanced,10000,7,1,24.198,41326,0,0
random,imbalanced,10000,7,2,11.223,89107,246317,246317
random,imbalanced,10000,7,4,5.53,180819,557093,195681
random,imbalanced,10000,7,8,2.95,338947,755544,141456
random,imbalanced,10000,7,16,1.791,558465,874260,105618
random,imbalanced,10000,8,1,24.214,41298,0,0
random,imbalanced,10000,8,2,11.214,89174,243216,243216
random,imbalanced,10000,8,4,5.589,178911,554965,195894
random,imbalanced,10000,8,8,2.949,339068,754754,151203
random,imbalanced,10000,8,16,1.818,549996,872354,150940
random,imbalanced,10000,9,1,24.248,41241,0,0
random,imbalanced,10000,9,2,11.341,88175,244443,244443
random,imbalanced,10000,9,4,5.543,180395,554988,196514
random,imbalanced,10000,9,8,2.911,343498,750299,142246
random,imbalanced,10000,9,16,1.748,572090,873496,121909
random,imbalanced,1000,1,1,3.297,303289,0,0
random,imbalanced,1000,1,2,1.597,626239,216043,216043
random,imbalanced,1000,1,4,0.883,1133058,487505,240065
random,imbalanced,1000,1,8,5.424,184350,4318208,778899
random,imbalanced,1000,1,16,1.827,547495,2314266,329608
random,imbalanced,1000,10,1,3.537,282748,0,0
random,imbalanced,1000,10,2,1.597,626369,213058,213058
random,imbalanced,1000,10,4,0.877,1139942,485218,228235
random,imbalanced,1000,10,8,0.815,1226498,669580,273008
